Molecule,QikProp_.stars,QikProp_.amine,QikProp_.acid,QikProp_.amide,QikProp_.rotor,QikProp_.rtvFG,QikProp_CNS,QikProp_mol_MW,QikProp_dipole,QikProp_SASA,QikProp_FOSA,QikProp_FISA,QikProp_PISA,QikProp_WPSA,QikProp_volume,QikProp_donorHB,QikProp_accptHB,QikProp_dip.2.V,QikProp_ACxDN..5.SA,QikProp_glob,QikProp_QPpolrz,QikProp_QPlogPC16,QikProp_QPlogPoct,QikProp_QPlogPw,QikProp_QPlogPo.w,QikProp_QPlogS,QikProp_CIQPlogS,QikProp_QPlogHERG,QikProp_QPPCaco,QikProp_QPlogBB,QikProp_QPPMDCK,QikProp_QPlogKp,QikProp_IP.eV.,QikProp_EA.eV.,QikProp_.metab,QikProp_QPlogKhsa,QikProp_HumanOralAbsorption,QikProp_PercentHumanOralAbsorption,QikProp_SAfluorine,QikProp_SAamideO,QikProp_PSA,QikProp_.NandO,QikProp_RuleOfFive,QikProp_.ringatoms,QikProp_.in56,QikProp_.noncon,QikProp_.nonHatm,QikProp_RuleOfThree,QikProp_ACxDN..5.SAxSASA.MW
n-dodecylamine,3,1,0,0,11,0,1,185.352,1.514,542.972,478.856,64.116,0,0,885.49,2,1,0.002588,0.0026046,0.8213149,22.22,7.175,9.416,2.95,3.13,-2.43,-1.272,-5.149,609.235,-0.335,320.337,-3.708,9.41,-2.99,2,0.197,3,95.115,0,0,27.224,1,0,0,0,0,13,0,0.00762994
diphenylether,5,0,0,0,2,0,0,170.21,1.69,393.85,0,0,393.85,0,629.87,0,0.5,0.0045364,0,0.9022652,21.53,6.882,6.833,3.397,4.198,-3.966,-4.011,-4.992,9906.038,-0.037,5899.293,0.06,9.201,0,0,0.228,3,100,0,0,7.63,1,0,12,12,0,13,0,0
isobutylacrylate,5,0,0,0,3,1,0,128.171,2.182,376.145,277.877,47.352,50.917,0,576.036,0,2,0.0082672,0,0.8901078,15.459,4.104,5.186,2.601,1.764,-1.654,-0.867,-3.553,3522.609,-0.016,1929.505,-1.925,10.961,0.001,0,-0.372,3,100,0,0,35.435,2,0,0,0,0,9,0,0
2356-tetrachloroaniline,2,0,0,0,1,0,2,230.908,2.803,362.261,0,47.447,68.285,246.53,567.791,1.5,1,0.0138342,0.0033808,0.9153814,16.579,6.461,8.666,4.426,3.211,-2.848,-3.693,-3.227,3515.287,0.731,10000,-2.057,8.643,0.434,2,-0.174,3,100,0,0,23.852,1,0,6,6,0,11,0,0.00530398
1-dodecanol,3,0,0,0,10,0,0,184.321,1.269,528.258,441.351,54.06,32.847,0,856.015,1,1.7,0.0018813,0.0032181,0.8253534,21.996,6.816,8.298,2.515,3.559,-3.63,-2.219,-4.515,3042.619,-0.568,1646.962,-1.44,9.497,-1.208,1,0.178,3,100,0,0,20.354,1,0,0,0,0,13,0,0.00922297
phthalazine,2,0,0,0,0,0,1,130.149,4.849,317.94,0,60.127,257.813,0,486.222,0,3,0.0483617,0,0.9405385,15.767,5.187,6.978,5.602,0.979,-0.978,-1.045,-3.724,2665.115,0.11,1427.245,-1.719,9.61,1.064,2,-0.773,3,93.994,0,0,27.359,2,0,10,10,0,10,0,0
pyridine,9,0,0,0,0,0,1,79.101,1.866,256.912,0,26.146,230.766,0,363.162,0,1.5,0.0095908,0,0.9581815,10.584,3.56,3.647,3.562,0.725,0.665,-0.417,-3.309,5596.994,0.374,3182.736,-1.188,10.04,-0.022,2,-0.729,3,100,0,0,12.17,1,0,6,6,0,6,0,0
acetophenone,5,0,0,0,1,0,1,120.151,3.799,325.83,82.01,50.861,192.958,0,495.736,0,2,0.0291184,0,0.9296975,14.886,4.647,5.662,3.911,1.578,-1.276,-1.056,-3.59,3262.748,0.111,1776.123,-1.681,10.026,0.467,0,-0.52,3,100,0,0,28.223,1,0,6,6,0,9,0,0
cyclohexanoneoxime,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246-trimethylphenol,3,0,0,0,1,0,1,136.193,1.636,364.038,252.784,35.235,76.018,0,567.64,1,0.75,0.0047173,0.0020602,0.9107538,16.647,4.53,6.422,3.335,2.249,-1.752,-1.906,-3.339,4589.529,0.22,2568.284,-1.805,8.851,-0.368,4,-0.073,3,100,0,0,18.244,1,0,6,6,0,10,0,0.00550683
19-decadiene,7,0,0,0,7,0,2,138.252,0.144,443.937,352.243,0,91.694,0,700.891,0,0,2.95e-5,0,0.8595625,18.277,5.167,4.61,-1.696,4.979,-5.173,-5.112,-4.242,9906.038,0.897,5899.293,-0.524,10.289,-1.22,2,0.355,3,100,0,0,0,0,0,0,0,0,10,0,0
1245-tetrachlorobenzene,8,0,0,0,0,0,1,215.894,0.003,352.57,0,0,94.96,257.61,545.084,0,0,0,0,0.9152976,16.567,5.804,5.647,1.304,4.754,-4.949,-4.589,-3.355,9906.038,0.192,10000,-1.185,9.448,0.641,0,0.2,3,100,0,0,0,0,0,6,6,0,10,0,0
di-n-pentylether(n-amylether),5,0,0,0,8,0,1,158.283,1.4,487.649,487.649,0,0,0,772.051,0,1.7,0.0025404,0,0.8346199,19.607,5.13,5.782,0.802,3.22,-4.009,-4.392,-4.208,9906.038,0.391,5899.293,-0.335,10.489,-2.56,1,0.065,3,100,0,0,8.396,1,0,0,0,0,11,0,0
tripropylamine,6,1,0,0,6,0,1,143.272,0.454,433.568,433.568,0,0,0,697.055,0,2,2.963e-4,0,0.8769047,17.89,4.605,5.486,1.409,2.464,-1.261,-1.19,-4.25,2470.586,0.146,1454.789,-0.909,9.104,-2.669,1,-0.148,3,100,0,0,4.344,1,0,0,0,0,10,0,0
o-cresol,5,0,0,0,1,0,1,108.14,1.969,304.527,82.471,44.837,177.22,0,454.071,1,0.75,0.0085408,0.0024628,0.9381841,13.068,4.35,5.484,3.945,1.938,-0.759,-1.345,-3.377,3721.472,0.164,2047.506,-1.626,9.117,-0.317,2,-0.385,3,100,0,0,20.356,1,0,6,6,0,8,0,0.00693535
diethyladipate,3,0,0,0,7,2,-1,202.25,0.012,528.374,433.694,94.68,0,0,831.365,0,4,2e-7,0,0.8092534,22.623,6.323,8.474,4.03,2.116,-2.996,-1.513,-4.618,1253.273,-0.822,631.431,-2.592,11.143,-1.141,2,-0.336,3,94.782,0,0,71.65,4,0,0,0,0,14,0,0
1-methylheptylamine(2-octanamine),5,1,0,0,6,0,1,129.245,1.449,406.458,358.619,47.839,0,0,638.748,2,1,0.0032885,0.0034794,0.8824756,15.556,4.82,7.324,3.613,1.679,-0.744,-0.162,-4.16,869.252,0.191,470.385,-3.888,9.373,-3.024,2,-0.269,3,89.384,0,0,24.396,1,0,0,0,0,9,0,0.0109422
14-dibromobenzene,8,0,0,0,0,0,1,235.906,0.002,321.703,0,0,167.541,154.163,481.857,0,0,0,0,0.923964,14.73,4.976,4.625,1.687,3.123,-2.957,-3.48,-3.561,9906.038,0.192,10000,-0.929,9.877,0.444,0,0.017,3,100,0,0,0,0,0,6,6,0,8,0,0
n-hexylacetate(acetic,5,0,0,0,5,1,0,144.213,2.672,432.879,371.395,61.484,0,0,665.838,0,2,0.0107263,0,0.8518786,17.282,4.519,5.691,2.046,2.284,-2.559,-1.208,-3.929,2587.294,-0.303,1382.252,-2.173,11.158,-1.171,0,-0.196,3,100,0,0,38.407,2,0,0,0,0,10,0,0
3-methyl-butanal(isovalerylaldehyde),8,0,0,0,2,0,0,86.133,3.63,291.991,217.876,74.115,0,0,431.695,0,2,0.0305282,0,0.946048,9.838,2.919,3.713,2.455,0.808,-0.168,0.026,-2.405,1963.675,-0.109,1025.944,-2.693,10.564,-0.853,1,-0.749,3,90.615,0,0,36.186,1,0,0,0,0,6,0,0
1122-tetrachloroethane,11,0,0,0,0,0,1,167.85,3.058,289.85,46.317,0,0,243.533,425.001,0,0,0.0220041,0,0.9431595,10.855,4.001,3.777,0.502,2.578,-2.07,-2.24,-2.452,9906.038,0.285,10000,-1.52,10.787,0.191,0,-0.148,3,100,0,0,0,0,0,0,0,0,6,0,0
5-methyl-2-hexanone(methyl-isoamyl-ketone),5,0,0,0,3,1,1,114.187,3.552,353.283,308.299,44.984,0,0,546.154,0,2,0.0231019,0,0.9146436,13.777,3.64,4.755,2.183,1.429,-1.056,-0.57,-2.913,3709.497,0.024,2040.385,-2.061,10.645,-0.89,1,-0.459,3,100,0,0,27.389,1,0,0,0,0,8,0,0
2-hydroxyethylmethacrylate,1,0,0,0,4,1,0,130.143,3.449,356.859,223.701,96.864,36.294,0,540.956,1,3.7,0.0219857,0.0103682,0.8997256,13.273,4.28,7.189,5.71,0.35,-0.916,-0.612,-3.328,1194.924,-0.475,599.716,-2.793,10.445,-0.086,2,-0.706,3,84.073,0,0,57.258,3,0,0,0,0,9,0,0.0284302
4-aminopropiophenone,0,0,0,0,3,0,0,149.192,6.023,372.252,126.003,99.597,146.652,0,582.251,1.5,3,0.0623123,0.0098703,0.9058744,16.622,5.706,9.502,6.78,1.391,-1.751,-1.505,-3.754,1125.704,-0.426,562.255,-2.55,8.386,0.129,2,-0.471,3,89.704,0,0,51.902,2,0,6,6,0,11,0,0.0246276
12-propanediamine(12-diaminopropane),8,2,0,0,3,0,0,74.125,1.03,262.914,152.594,110.32,0,0,372.856,4,2,0.0028455,0.0152141,0.9528948,6.841,3.482,8.264,8.269,-1.589,2,1.877,-3.747,55.403,0.37,26.547,-7.39,9.463,-2.648,4,-1.041,2,48.85,0,0,51.124,2,0,0,0,0,5,0,0.0539629
1-chloronaphthalene,6,0,0,0,0,0,1,162.618,2.112,351.128,0,0,288.372,62.755,551.034,0,0,0.0080985,0,0.9257328,18.652,5.966,5.854,2.548,3.448,-3.818,-4.31,-4.109,9906.038,0.192,10000,-0.504,8.86,0.66,0,0.218,3,100,0,0,0,0,0,10,10,0,11,0,0
1-decanol-(n-decyl-alcohol),5,0,0,0,9,0,0,158.283,1.95,474.403,417.421,56.981,0,0,758.533,1,1.7,0.0050149,0.0035835,0.8478796,18.424,5.689,7.142,2.402,2.891,-2.692,-1.703,-3.993,2854.602,-0.507,1537.237,-1.706,10.932,-2.992,1,-0.046,3,100,0,0,23.241,1,0,0,0,0,11,0,0.0107404
123-trichloropropane,11,0,0,0,0,1,1,147.431,4.141,300.462,110.142,0,0,190.32,443.563,0,0,0.0386626,0,0.9361507,11.597,3.755,3.989,0.509,2.66,-2.194,-2.433,-2.565,9906.038,0.412,10000,-1.52,10.57,-0.428,0,-0.094,3,100,0,0,0,0,0,0,0,0,6,0,0
hexachloroethane,10,0,0,0,0,0,1,236.74,0,323.024,0,0,0,323.024,497.737,0,0,0,0,0.9402938,13.765,5.347,4.881,0.61,3.366,-3.891,-4.026,-2.498,9906.038,0.192,10000,-1.52,10.905,0.812,0,0.063,3,100,0,0,0,0,0,0,0,0,8,0,0
n-aminoethylpiperazine(aminoethylpiperazine),3,3,0,0,3,0,1,129.205,2.406,347.705,250.317,97.389,0,0,540.034,3,4.5,0.0107196,0.0224162,0.9223613,13.532,4.704,10.486,9.383,-1.534,2,2.452,-4.967,18.326,0.417,8.883,-7.152,9.318,-2.299,3,-0.727,2,40.572,0,0,48.156,3,0,6,6,4,9,1,0.0603245
styrene,9,0,0,0,1,0,1,104.151,0.067,313.341,63.175,0,250.167,0,470.837,0,0,9.6e-6,0,0.9341026,14.436,4.463,3.875,0.961,2.949,-2.818,-2.717,-3.791,9906.038,0.318,5899.293,-0.542,9.187,0.083,0,-0.058,3,100,0,0,0,0,0,6,6,0,8,0,0
4-decylaniline,2,0,0,0,10,0,0,233.396,2.231,600.062,389.136,61.641,149.284,0,1000.958,1.5,1,0.0049724,0.002041,0.8064544,28.909,9.248,11.292,3.574,4.727,-5.038,-3.745,-5.376,2578.422,-0.671,1377.13,-1.17,8.046,-0.629,2,0.643,3,100,0,0,26.347,1,0,6,6,0,17,0,0.00524742
nn-diethylethanolamine(2-diethylaminothanol),6,1,0,0,5,0,1,117.191,2.152,347.651,299.691,47.96,0,0,539.723,1,3.7,0.0085842,0.0106429,0.9221509,12.235,3.896,6.35,4.888,0.201,0.511,0.634,-3.518,866.945,0.285,469.036,-3.986,8.991,-2.739,2,-0.74,3,80.708,0,0,26.558,2,0,0,0,0,8,0,0.0315725
n-butylamine,9,1,0,0,3,0,1,73.138,1.496,283.698,219.581,64.117,0,0,407.112,2,1,0.0054969,0.0049849,0.9363784,8.212,2.898,5.074,4.09,0.092,1.203,0.824,-3.288,609.225,0.294,320.332,-4.476,9.403,-3.022,2,-0.749,3,77.328,0,0,27.225,1,0,0,0,0,5,0,0.0193361
2-hydroxy-46-dimethoxybenzaldehyde,1,0,0,0,4,0,0,182.176,4.277,362.85,177.921,110.645,74.284,0,588.632,0,3.25,0.0310711,0,0.9361259,15.544,5.301,6.615,4.169,0.874,-0.74,-1.794,-2.92,884.414,-0.519,433.203,-2.913,9.316,0.435,3,-0.712,3,84.802,0,0,69.566,4,0,6,6,0,13,0,0
1-cyano-2-amino-5-chlorobenzene(benzonitrile2-amino-5-chloro-),0,0,0,0,2,0,-1,152.583,5.502,338.143,0,122.708,143.809,71.627,511.889,1.5,2.5,0.0591403,0.0090549,0.9151972,14.421,5.674,8.935,6.589,0.692,-1.895,-2.697,-3.59,679.613,-0.358,804.298,-3.082,8.629,0.503,1,-0.534,3,81.691,0,0,50.891,2,0,6,6,0,10,0,0.0200668
11-dichloroethylene(vinylidene,12,0,0,0,0,0,1,96.944,1.923,239.95,48.402,0,44.69,146.858,325.865,0,0,0.0113442,0,0.9544128,7.314,2.593,2.017,0.652,1.859,-1.297,-1.208,-2.483,9906.038,0.289,10000,-1.362,9.902,-0.357,0,-0.436,3,100,0,0,0,0,0,0,0,0,4,0,0
135-trichlorobenzene,8,0,0,0,0,0,1,181.449,0.002,336.742,0,0,121.595,215.148,509.941,0,0,0,0,0.9166724,15.415,5.318,5.079,1.432,2.977,-3.212,-4.001,-3.46,9906.038,0.192,10000,-1.091,9.756,0.384,0,0.098,3,100,0,0,0,0,0,6,6,0,9,0,0
cyclohexanol,9,0,0,0,1,0,1,100.16,2.04,302.373,253.013,49.359,0,0,454.96,1,1.7,0.009149,0.0056222,0.9461016,11.411,3.236,5.172,3.701,1.191,-0.742,-0.593,-2.404,3371.511,0.136,1840.203,-2.333,10.952,-3.098,1,-0.499,3,100,0,0,22.407,1,0,6,6,6,7,0,0.0169729
2-chloro-6-fluorobenzaldehyde,4,0,0,0,1,0,1,158.559,4.881,323.038,12.231,69.087,145.162,96.557,493.609,0,2,0.0482733,0,0.9350475,14.344,4.68,6.237,3.737,1.586,-1.343,-1.872,-3.275,2191.512,0.213,3904.743,-2.185,10.043,0.969,0,-0.527,3,96.024,35.168,0,34.691,1,0,6,6,0,10,0,0
2-pentanone,7,0,0,0,2,1,1,86.133,3.568,301.127,256.142,44.985,0,0,441.273,0,2,0.0288418,0,0.9308676,10.222,2.641,3.655,2.278,1.206,-0.746,0.026,-2.651,3709.438,0.097,2040.35,-2.157,10.653,-0.88,1,-0.721,3,100,0,0,27.389,1,0,0,0,0,6,0,0
m-dichlorobenzene(13-dichlorobenzene),7,0,0,0,0,0,1,147.004,2.122,312.575,0,0,169.135,143.441,465.585,0,0,0.0096757,0,0.9294152,14.094,4.789,4.494,1.672,3.009,-2.655,-3.225,-3.481,9906.038,0.192,10000,-0.924,9.585,0.185,0,-0.03,3,100,0,0,0,0,0,6,6,0,8,0,0
4-(dimethylamino)benzaldehyde,1,0,0,0,2,0,0,149.192,5.491,374.044,168.211,77.049,128.784,0,589.068,0,3,0.0511911,0,0.9085588,17.366,5.18,7.328,4.533,1.057,-1.229,-1.209,-3.626,1841.805,-0.179,957.298,-2.294,8.226,0.166,1,-0.559,3,91.577,0,0,40.054,2,0,6,6,0,11,0,0
2-chloro-4-methylaniline,2,0,0,0,1,0,1,141.6,2.263,332.737,87.83,54.554,124.134,66.219,506.482,1.5,1,0.0101071,0.0036808,0.9235059,14.659,5.046,7.188,4.72,2.063,-1.742,-1.879,-3.362,3009.974,0.239,3752.881,-1.992,8.149,-0.329,2,-0.339,3,100,0,0,25.103,1,0,6,6,0,9,0,0.00864928
hexanal-(n-hexanal),6,0,0,0,4,0,0,100.16,3.62,336.228,260.255,75.973,0,0,505.308,0,2,0.0259355,0,0.9125069,11.5,3.383,4.114,2.133,1.318,-0.764,-0.272,-2.948,1885.607,-0.286,981.929,-2.536,10.64,-0.836,1,-0.62,3,93.29,0,0,37.533,1,0,0,0,0,7,0,0
acetonitrile,11,0,0,0,0,0,0,41.052,5.004,203.341,109.093,72.383,21.865,0,257.097,0,1.5,0.0973876,0,0.9616209,4.344,1.122,2.593,2.327,-0.34,0.243,-0.249,-2.257,2039.351,0.042,1068.745,-2.776,12.413,-1.614,1,-1.037,3,84.189,0,0,25.658,1,0,0,0,0,3,0,0
ethylbenzene,8,0,0,0,1,0,2,106.167,0.335,325.183,130.05,0,195.133,0,493.033,0,0,2.279e-4,0,0.9281561,14.799,4.256,3.904,0.59,3.148,-2.776,-2.948,-3.625,9906.038,0.452,5899.293,-0.736,9.601,-0.414,1,0.007,3,100,0,0,0,0,0,6,6,0,8,0,0
4-hexyloxyaniline,2,0,0,0,7,0,0,193.288,2.458,490.825,268.664,61.661,160.5,0,789.487,1.5,1.75,0.0076553,0.0043667,0.8416566,22.479,7.259,9.688,4.788,3.099,-3.297,-2.689,-4.86,2577.311,-0.439,1376.489,-1.418,7.826,-0.52,3,0.057,3,100,0,0,34.309,2,0,6,6,0,14,0,0.0110886
tert-butylacetate,7,0,0,0,1,1,1,116.16,2.102,337.528,302.376,35.152,0,0,513.195,0,2,0.00861,0,0.9184253,13.742,3.247,4.569,2.52,1.088,-0.725,-0.612,-2.852,4597.815,0.225,2573.296,-2.071,10.787,-1.139,0,-0.47,3,100,0,0,31.388,2,0,0,0,0,8,0,0
1-octanol,5,0,0,0,7,0,0,130.23,1.952,409.588,352.605,56.982,0,0,638.943,1,1.7,0.0059663,0.0041505,0.8759102,14.922,4.605,6.059,2.687,2.991,-2.27,-1.164,-3.54,2854.558,-0.354,1537.211,-1.898,10.931,-3.001,1,-0.284,3,100,0,0,23.241,1,0,0,0,0,9,0,0.0130538
1-(2-hydroxyethyl)piprazine-(1-piperazineethanol),2,2,0,0,3,0,2,130.189,3.385,341.454,261.123,80.332,0,0,530.686,2,5.2,0.0215934,0.021537,0.9283773,13.158,4.319,9.354,8.477,-1.029,1.613,1.596,-4.143,106.639,0.558,53.877,-6.837,9.109,-2.503,2,-0.795,2,57.213,0,0,42.731,3,0,6,6,4,9,0,0.0564863
acridine,3,0,0,0,0,0,1,179.221,1.76,397.255,0,15.102,382.153,0,640.807,0,1,0.0048332,0,0.904858,23.141,7.044,7.801,4.362,3.399,-3.661,-3.254,-4.894,7123.43,0.441,4130.533,-0.452,8.518,1.277,0,0.211,3,100,0,0,11.396,1,0,14,14,0,14,0,0
ethyl,3,0,0,0,2,1,1,150.177,2.744,388.68,141.847,46.913,199.92,0,600.985,0,2,0.0125285,0,0.8860981,18.522,5.39,6.581,3.862,2.135,-1.978,-1.694,-4.328,3556.502,0.045,1949.578,-1.488,10.077,0.404,0,-0.257,3,100,0,0,35.03,2,0,6,6,0,11,0,0
nn-dimethylaniline,6,0,0,0,1,0,2,121.182,1.465,339.935,149.634,1.498,188.803,0,522.736,0,1,0.0041066,0,0.9231904,15.927,4.497,4.881,2.596,2.334,-1.932,-1.542,-3.675,9587.241,0.492,5694.356,-0.786,7.945,-0.615,3,-0.174,3,100,0,0,3.42,1,0,6,6,0,9,0,0
diethylsebacate(ethyl,4,0,0,0,11,2,-2,258.357,0.012,658.397,563.717,94.68,0,0,1070.792,0,4,1e-7,0,0.768801,29.636,8.814,10.667,3.461,3.678,-4.809,-2.704,-5.273,1253.273,-1.167,631.431,-2.208,11.14,-1.142,2,0.189,3,100,0,0,71.65,4,0,0,0,0,18,0,0
3-pentanone-(diethyl,7,0,0,0,2,1,1,86.133,3.38,301.296,268.592,32.704,0,0,440.642,0,2,0.0259286,0,0.9294566,10.196,2.53,3.543,2.195,1.167,-0.7,0.026,-2.673,4850.325,0.191,2726.385,-1.93,10.597,-0.898,2,-0.723,3,100,0,0,24.87,1,0,0,0,0,6,0,0
ethylhexanoate,4,0,0,0,5,1,0,144.213,2.364,429.599,382.381,47.218,0,0,663.122,0,2,0.0084284,0,0.8560467,17.174,4.419,5.561,1.941,2.444,-2.388,-1.208,-3.861,3532.932,-0.167,1935.617,-1.91,11.109,-1.197,1,-0.204,3,100,0,0,35.826,2,0,0,0,0,10,0,0
234-trichloroaniline,2,0,0,0,1,0,2,196.463,5.785,341.245,0,54.554,106.359,180.331,527.008,1.5,1,0.0635051,0.0035891,0.9246501,15.31,5.965,8.688,4.659,3.311,-1.936,-2.985,-3.258,3009.967,0.52,10000,-2.054,8.443,0.139,1,-0.284,3,100,0,0,25.106,1,0,6,6,0,10,0,0.00623406
1-propanol,11,0,0,0,2,0,1,60.096,2.024,247.544,190.562,56.982,0,0,339.96,1,1.7,0.0120506,0.0068675,0.9516217,6.167,2.008,3.404,3.4,0.25,0.612,-0.049,-2.315,2854.543,0.023,1537.203,-2.378,10.928,-3.122,1,-0.822,3,90.258,0,0,23.242,1,0,0,0,0,4,0,0.0282882
diethyl-(+)-tartrate-(diethyl,1,0,0,0,7,2,-2,206.195,6.865,471.35,316.677,154.673,0,0,744.872,0,5.4,0.0632667,0,0.8430944,19.161,5.977,9.279,5.68,0.454,-1.182,-0.947,-4.071,338.172,-1.309,153.251,-3.698,10.945,-0.71,2,-0.961,2,74.873,0,0,106.489,6,0,0,0,0,14,0,0
246-tri-tert-butylphenol,3,0,0,0,4,0,1,262.434,1.972,533.941,522.38,6.629,4.932,0,988.703,1,0.75,0.0039339,0.0014046,0.8989087,30.893,7.905,11.106,2.404,5.102,-5.03,-4.522,-3.191,8571.133,0.268,5044.915,-1.24,8.829,-0.442,3,0.994,3,100,0,0,9.321,1,1,6,6,0,19,0,0.00285776
1-methylnaphthalene,6,0,0,0,0,0,1,142.2,0.466,357.383,76.802,0,280.58,0,563.056,0,0,3.857e-4,0,0.9227115,19.059,5.567,5.562,1.888,3.481,-3.633,-3.677,-4.121,9906.038,0.346,5899.293,-0.531,8.717,0.43,1,0.253,3,100,0,0,0,0,0,10,10,0,11,0,0
m-cresol,5,0,0,0,1,0,1,108.14,1.964,308.028,87.86,54.44,165.728,0,458.489,1,0.75,0.0084114,0.0024348,0.9335288,13.135,4.332,5.526,3.941,1.937,-0.776,-1.345,-3.398,3017.475,0.087,1632.255,-1.843,9.137,-0.338,2,-0.373,3,100,0,0,22.469,1,0,6,6,0,8,0,0.00693533
2-fluorobenzaldehyde,5,0,0,0,1,0,1,124.114,3.46,305.409,15.919,74.766,176.547,38.176,457.396,0,2,0.0261771,0,0.9400376,13.195,4.141,5.33,3.926,1.531,-1.234,-1.141,-3.344,1935.935,0.033,1635.212,-2.18,10.205,0.789,0,-0.632,3,94.741,38.176,0,36.26,1,0,6,6,0,9,0,0
n-ethyl-m-toluidine(n-ethyl-3-methylaniline),3,0,0,0,2,0,1,135.208,2.252,381.719,222.048,14.759,144.912,0,592.107,1,1,0.0085652,0.0026197,0.8933492,17.642,4.971,6.9,3.732,2.852,-1.999,-1.815,-3.949,7176.933,0.32,4164.076,-1.089,7.985,-0.661,5,-0.087,3,100,0,0,12.892,1,0,6,6,0,10,0,0.00739593
pentafluoroaniline,6,0,0,0,1,0,2,183.081,5.051,318.742,0,55.481,59.34,203.921,480.247,1.5,1,0.0531145,0.0038424,0.9304695,12.99,2.591,7.789,4.3,2.439,-2.043,-2.712,-2.94,2949.683,0.576,10000,-2.237,9.203,1.02,1,-0.408,3,100,203.921,0,25.461,1,0,6,6,0,12,0,0.00668958
chloroform,14,0,0,0,0,3,1,119.378,1.893,243.378,28.132,0,0,215.246,331.588,0,0,0.0108089,0,0.9519539,7.116,2.798,2.203,0.38,1.97,-1.172,-1.268,-2.309,9906.038,0.248,10000,-1.52,10.889,0.403,0,-0.419,3,100,0,0,0,0,0,0,0,0,4,0,0
26-di-tert-butyl-4-methylphenol(butylated,3,0,0,0,3,0,1,220.354,2.026,480.137,447.018,6.628,26.491,0,846.634,1,0.75,0.0048498,0.0015621,0.9014265,26.055,6.741,9.454,2.642,4.196,-4.189,-3.642,-3.253,8571.208,0.328,5044.963,-1.26,8.806,-0.424,4,0.631,3,100,0,0,9.321,1,0,6,6,0,16,0,0.00340371
2-hydroxyethylacrylate,6,0,0,0,4,1,0,116.116,3.024,333.778,177.574,105.104,51.1,0,488.793,1,3.7,0.0187095,0.0110852,0.8990638,11.327,3.843,6.53,5.811,0.079,-0.485,-0.399,-3.409,998.155,-0.544,493.723,-2.893,10.913,-0.046,1,-0.827,3,81.089,0,0,59.294,3,0,0,0,0,8,0,0.0318647
n-pentylbenzene(amylbenzene),6,0,0,0,4,0,2,148.247,0.367,422.206,227.137,0,195.069,0,672.301,0,0,1.999e-4,0,0.8790555,20.046,5.735,5.546,0.179,4.682,-4.814,-4.814,-4.419,9906.038,0.647,5899.293,-0.448,9.602,-0.403,1,0.4,3,100,0,0,0,0,0,6,6,0,11,0,0
phenol,6,0,0,0,1,0,1,94.113,1.568,276.449,0,54.44,222.009,0,399.427,1,0.75,0.0061541,0.002713,0.9487997,11.309,4.233,4.977,4.248,1.458,-0.051,-1.073,-3.419,3017.502,0.1,1632.271,-1.645,9.225,-0.31,1,-0.533,3,100,0,0,22.469,1,0,6,6,0,7,0,0.00796921
3-methoxy-4-hydroxybenzaldehyde(vanillin),0,0,0,0,3,0,-1,152.149,4.881,339.759,98.614,129.929,111.216,0,531.968,1,3.5,0.0447794,0.0103014,0.9345116,14.271,5.306,8.128,6.427,0.901,-0.979,-1.399,-3.122,580.473,-0.609,274.806,-3.234,9.134,0.495,2,-0.639,3,81.686,0,0,66.819,3,0,6,6,0,11,0,0.0230037
1-cyano-35-dibromo-4-hydroxybenzene(bromoxynil),0,0,0,0,2,0,0,276.915,4.329,365.672,0,111.405,108.849,145.419,562.652,1,2.25,0.0333037,0.006153,0.9013621,16.119,6.176,8.54,5.388,1.802,-3.244,-5.263,-3.647,869.861,-0.114,2663.837,-2.997,9.83,1.089,1,-0.353,3,90.109,0,0,46.058,2,0,6,6,0,11,0,0.00812516
m-xylene,9,0,0,0,0,0,2,106.167,0.358,327.256,175.749,0,151.508,0,494.866,0,0,2.597e-4,0,0.9245612,15.097,3.929,3.966,0.721,3.104,-2.855,-2.967,-3.475,9906.038,0.544,5899.293,-0.986,9.403,-0.436,2,0.055,3,100,0,0,0,0,0,6,6,0,8,0,0
2-octanone,4,0,0,0,5,1,0,128.214,3.479,398.359,353.373,44.985,0,0,620.67,0,2,0.0195001,0,0.8833471,15.475,4.157,5.17,1.851,2.114,-1.769,-0.868,-3.42,3709.405,-0.122,2040.331,-1.869,10.658,-0.874,1,-0.327,3,100,0,0,27.389,1,0,0,0,0,9,0,0
24-dichlorophenol,5,0,0,0,1,0,2,163.003,0.843,322.395,0,47.869,135.437,139.089,485.471,1,0.75,0.0014634,0.0023263,0.9265839,13.926,5.278,6.304,3.773,2.832,-1.459,-2.453,-3.366,3483.024,0.473,10000,-1.829,9.249,0.243,1,-0.3,3,100,0,0,21.486,1,0,6,6,0,9,0,0.00460107
